0.05, 11344
0.05, 11344
0.05, 11344
0.05, 11344
0.05, 11344
0.05, 11344
0.05, 11344
0.05, 11344
0.05, 11344
0.05, 11344
0.1, 22688
0.1, 22688
0.1, 22688
0.1, 22688
0.1, 22688
0.1, 22688
0.1, 22688
0.1, 22688
0.1, 22688
0.1, 22688
0.15, 34032
0.15, 34032
0.15, 34032
0.15, 34032
0.15, 34032
0.15, 34032
0.15, 34032
0.15, 34032
0.15, 34032
0.15, 34032
0.2, 45376
0.2, 45376
0.2, 45376
0.2, 45376
0.2, 45376
0.2, 45376
0.2, 45376
0.2, 45376
0.2, 45376
0.2, 45376
0.25, 56720
0.25, 56720
0.25, 56720
0.25, 56720
0.25, 56876
0.25, 56720
0.25, 56720
0.25, 56720
0.25, 56720
0.25, 56720
0.3, 68064
0.3, 68064
0.3, 68064
0.3, 68064
0.3, 68064
0.3, 68064
0.3, 68304
0.3, 68460
0.3, 68460
0.3, 68220
0.35, 79408
0.35, 79648
0.35, 80029
0.35, 79804
0.35, 79804
0.35, 79564
0.35, 79408
0.35, 79408
0.35, 79804
0.35, 79804
0.4, 92142
0.4, 90924
0.4, 91148
0.4, 91902
0.4, 90924
0.4, 91148
0.4, 93186
0.4, 90808
0.4, 90924
0.4, 91373
0.45, 104530
0.45, 102508
0.45, 103486
0.45, 102733
0.45, 102200
0.45, 102733
0.45, 102308
0.45, 103486
0.45, 102392
0.45, 102308
0.5, 115071
0.5, 114714
0.5, 114000
0.5, 115874
0.5, 114000
0.5, 114846
0.5, 117299
0.5, 114714
0.5, 114714
0.5, 114714
0.55, 120518
0.55, 119789
0.55, 120503
0.55, 120851
0.55, 121430
0.55, 119702
0.55, 120710
0.55, 120014
0.55, 122791
0.55, 119789
0.6, 133357
0.6, 132205
0.6, 133072
0.6, 134342
0.6, 133807
0.6, 133132
0.6, 133132
0.6, 132537
0.6, 132160
0.6, 134541
0.65, 145161
0.65, 146443
0.65, 144936
0.65, 145034
0.65, 147293
0.65, 146186
0.65, 143962
0.65, 144669
0.65, 143795
0.65, 144829
0.7, 158765
0.7, 156416
0.7, 158704
0.7, 157558
0.7, 157894
0.7, 158003
0.7, 159360
0.7, 157180
0.7, 157873
0.7, 158390
0.75, 173059
0.75, 171623
0.75, 172446
0.75, 170686
0.75, 172487
0.75, 172869
0.75, 170689
0.75, 171726
0.75, 171621
0.75, 172518
0.8, 186758
0.8, 184064
0.8, 184687
0.8, 184270
0.8, 185463
0.8, 186784
0.8, 185124
0.8, 185182
0.8, 186308
0.8, 184337
0.85, 199591
0.85, 197951
0.85, 197791
0.85, 198132
0.85, 199087
0.85, 199586
0.85, 199080
0.85, 199991
0.85, 199857
0.85, 200487
0.9, 210864
0.9, 213235
0.9, 214305
0.9, 214432
0.9, 211997
0.9, 212218
0.9, 215423
0.9, 213841
0.9, 214708
0.9, 213990
0.95, 230288
0.95, 225287
0.95, 227626
0.95, 230757
0.95, 227447
0.95, 227665
0.95, 226834
0.95, 226226
0.95, 227857
0.95, 228847
1.0, 248071
1.0, 247586
1.0, 251282
1.0, 249851
1.0, 250005
1.0, 247594
1.0, 249604
1.0, 248365
1.0, 247887
1.0, 244569
